period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	hymafr	1965		20.0	0.0	20.0	0.0	1.0
	Mopsan	1987		29.0	0.0	29.0	0.0	1.0
	Rocktroll	1985		12.0	0.0	12.0	0.0	1.0
	FL Lisa	1983		32.0	0.0	32.0	0.0	1.0
	RiNan	1984		18.0	0.0	18.0	0.0	1.0
	modestyclara	1979		12.0	0.0	12.0	0.0	1.0
	Beckah82	1983		60.0	0.0	60.0	0.0	1.0
	AmandaBrun	1985		10.0	0.0	10.0	0.0	1.0
	Pumpkin	1985		17.0	0.0	17.0	0.0	1.0
	Butterscotch	1975		13.0	0.0	13.0	0.0	1.0
	mamita64	1965		17.0	0.0	17.0	0.0	1.0
	FreeForAll	1984		11.0	0.0	11.0	0.0	1.0
	Dorian Ertymexx	1973		80.0	1.0	79.0	0.0125	0.9875
	Pallas	1974		24.0	0.0	24.0	0.0	1.0
	idiblon	1982		42.0	0.0	42.0	0.0	1.0
	Snooze	1981		10.0	0.0	10.0	0.0	1.0
	lokisse	1961		35.0	0.0	35.0	0.0	1.0
	MalinI	1979		11.0	0.0	11.0	0.0	1.0
	Jennie med ie	1976		15.0	0.0	15.0	0.0	1.0
	Hedi	1966		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	LaFontaine	1985		11.0	0.0	11.0	0.0	1.0
	pluvdo	1987		10.0	0.0	10.0	0.0	1.0
	Winglur	1989		11.0	0.0	11.0	0.0	1.0
	Mornie Alantie	1987		10.0	0.0	10.0	0.0	1.0
	Pochahontas	1974		15.0	0.0	15.0	0.0	1.0
	BasseKatt	1975		28.0	0.0	28.0	0.0	1.0
	Corpset	1982		10.0	0.0	10.0	0.0	1.0
	WhiteAngels	1980		19.0	0.0	19.0	0.0	1.0
	Scraptroll	1984		14.0	0.0	14.0	0.0	1.0
	ModestyB	1982		11.0	0.0	11.0	0.0	1.0
	Tant Groda	1983		10.0	0.0	10.0	0.0	1.0
	solstraalen	1982		17.0	0.0	17.0	0.0	1.0
	saltflingan	1990		22.0	0.0	22.0	0.0	1.0
	Anova	1979		13.0	0.0	13.0	0.0	1.0
	Jimps	1981		12.0	0.0	12.0	0.0	1.0
	gosmamman	1983		11.0	0.0	11.0	0.0	1.0
	janniahlholm	1991		11.0	0.0	11.0	0.0	1.0
	Sigrid	1975		22.0	0.0	22.0	0.0	1.0
	underverket 06	1971		14.0	1.0	13.0	0.07142857142857142	0.9285714285714286
	fru smurf	1979		12.0	0.0	12.0	0.0	1.0
	högbergarna	1979		25.0	0.0	25.0	0.0	1.0
	abuelita	1951		100.0	0.0	100.0	0.0	1.0
