period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
2003	Pix	1966		1.0	1.0	0.0	1.0	0.0
2003	Sanna80	1981		2.0	2.0	0.0	1.0	0.0
2003	Jossebell	1969		2.0	2.0	0.0	1.0	0.0
2003	Snoffsan	1980		2.0	1.0	1.0	0.5	0.5
2003	Tilda	1981		1.0	1.0	0.0	1.0	0.0
2003	Betty Boop	1974		1.0	1.0	0.0	1.0	0.0
2003	Morfen	1975		1.0	1.0	0.0	1.0	0.0
2003	jesslin	1973		1.0	1.0	0.0	1.0	0.0
2003	Baronessan	1975		1.0	1.0	0.0	1.0	0.0
2003	Persikan	1983		1.0	1.0	0.0	1.0	0.0
2003	Ylwa	1981		1.0	1.0	0.0	1.0	0.0
2003	hummelhonung	1973		1.0	1.0	0.0	1.0	0.0
2004	Jennaz	1980		3.0	3.0	0.0	1.0	0.0
2004	Bergling	1976		1.0	1.0	0.0	1.0	0.0
2004	Toffsan	1985		1.0	1.0	0.0	1.0	0.0
2004	Brodsmulan	1978		3.0	3.0	0.0	1.0	0.0
2004	Hajda	1978		1.0	1.0	0.0	1.0	0.0
2004	Sashimi	1976		1.0	1.0	0.0	1.0	0.0
2004	pabe	1983		1.0	1.0	0.0	1.0	0.0
2004	lenka	1986		1.0	1.0	0.0	1.0	0.0
2004	Veran	1973		1.0	1.0	0.0	1.0	0.0
2004	Lioness	1977		4.0	4.0	0.0	1.0	0.0
2004	Pompelipossa	1968		1.0	0.0	1.0	0.0	1.0
2004	foxy	1982		1.0	1.0	0.0	1.0	0.0
2004	marremask	1980		3.0	3.0	0.0	1.0	0.0
2004	Jossebell	1969		2.0	2.0	0.0	1.0	0.0
2004	Martinis	1984		1.0	1.0	0.0	1.0	0.0
2004	Marlene	1967		3.0	3.0	0.0	1.0	0.0
2004	Pallas	1974		1.0	0.0	1.0	0.0	1.0
2004	Dantes matte	1972		2.0	2.0	0.0	1.0	0.0
2004	Tulsa	1965		7.0	7.0	0.0	1.0	0.0
2004	pckattis	1984		1.0	1.0	0.0	1.0	0.0
2004	Jojo77	1978		1.0	1.0	0.0	1.0	0.0
2004	Norea	1973		1.0	0.0	1.0	0.0	1.0
2004	Vilda	1981		2.0	2.0	0.0	1.0	0.0
2004	Väntarochlängtar	1971		2.0	2.0	0.0	1.0	0.0
2004	musli	1972		1.0	0.0	1.0	0.0	1.0
2004	orlando	1979		1.0	1.0	0.0	1.0	0.0
2004	Vanna	1986		1.0	1.0	0.0	1.0	0.0
2004	Snos	1986		1.0	1.0	0.0	1.0	0.0
2004	Scraptroll	1984		1.0	1.0	0.0	1.0	0.0
2004	tigger	1973		1.0	1.0	0.0	1.0	0.0
2004	werner	1976		6.0	5.0	1.0	0.8333333333333334	0.16666666666666666
2004	Fembarnsmorsan	1972		1.0	1.0	0.0	1.0	0.0
2004	Månskugga	1982		1.0	1.0	0.0	1.0	0.0
2004	Samba	1986		1.0	0.0	1.0	0.0	1.0
2004	Ambrosia	1984		1.0	1.0	0.0	1.0	0.0
2004	AnnaKlara	1971		1.0	1.0	0.0	1.0	0.0
2004	Fluortanten	1977		1.0	1.0	0.0	1.0	0.0
2004	Saucy	1982		2.0	2.0	0.0	1.0	0.0
2004	Betty Boop	1974		1.0	1.0	0.0	1.0	0.0
2004	Pix	1966		1.0	1.0	0.0	1.0	0.0
2004	student	1982		1.0	1.0	0.0	1.0	0.0
2004	Anova	1979		1.0	1.0	0.0	1.0	0.0
2004	Eken	1985		1.0	0.0	1.0	0.0	1.0
2004	Eva77	1978		1.0	1.0	0.0	1.0	0.0
2004	Marstös	1980		1.0	1.0	0.0	1.0	0.0
2004	jesslin	1973		1.0	1.0	0.0	1.0	0.0
2004	MissWiren	1983		1.0	1.0	0.0	1.0	0.0
2004	Melon	1985		1.0	1.0	0.0	1.0	0.0
2004	Linha	1972		1.0	1.0	0.0	1.0	0.0
2004	stinaliza	1972		3.0	3.0	0.0	1.0	0.0
2004	Ylwa	1981		1.0	0.0	1.0	0.0	1.0
2004	Annicka	1977		2.0	2.0	0.0	1.0	0.0
2004	Lorelei	1978		1.0	1.0	0.0	1.0	0.0
2004	Vårblomma	1985		2.0	2.0	0.0	1.0	0.0
2004	Plumsan	1980		1.0	0.0	1.0	0.0	1.0
2004	sydney	1978		1.0	0.0	1.0	0.0	1.0
2004	Lilla Morran	1984		1.0	0.0	1.0	0.0	1.0
2004	Lugnistormen	1981		1.0	0.0	1.0	0.0	1.0
2004	Mrs J	1977		2.0	2.0	0.0	1.0	0.0
2004	Moonlight	1977		1.0	1.0	0.0	1.0	0.0
2004	Mistress	1977		1.0	1.0	0.0	1.0	0.0
2004	Kassiopeja	1978		1.0	1.0	0.0	1.0	0.0
2004	Julianna	1974		2.0	2.0	0.0	1.0	0.0
2004	Yvonne	1976		1.0	1.0	0.0	1.0	0.0
2004	Sigrid	1975		1.0	1.0	0.0	1.0	0.0
2004	Pinja	1975		1.0	0.0	1.0	0.0	1.0
2004	CoolJen	1980		1.0	1.0	0.0	1.0	0.0
2005	Crollan	1968		1.0	1.0	0.0	1.0	0.0
2005	asa1971	1972		1.0	1.0	0.0	1.0	0.0
2005	Jennie med ie	1976		4.0	4.0	0.0	1.0	0.0
2005	Legewiel	1985		1.0	1.0	0.0	1.0	0.0
2005	ShuppShupp	1985		1.0	1.0	0.0	1.0	0.0
2005	Sunflower	1971		1.0	1.0	0.0	1.0	0.0
2005	Turran	1976		2.0	2.0	0.0	1.0	0.0
2005	Pärlan81	1982		2.0	2.0	0.0	1.0	0.0
2005	Miss Cee	1981		3.0	3.0	0.0	1.0	0.0
2005	Lillatroll	1974		1.0	1.0	0.0	1.0	0.0
2005	Moomin	1982		3.0	3.0	0.0	1.0	0.0
2005	zitis81	1982		1.0	1.0	0.0	1.0	0.0
2005	Piri	1967		1.0	1.0	0.0	1.0	0.0
2005	Lioness	1977		4.0	4.0	0.0	1.0	0.0
2005	Makaron	1986		1.0	1.0	0.0	1.0	0.0
2005	Persikan	1983		1.0	1.0	0.0	1.0	0.0
2005	Yara	1987		3.0	3.0	0.0	1.0	0.0
2005	Tindrande	1983		1.0	1.0	0.0	1.0	0.0
2005	fru bengtsson	1972		1.0	1.0	0.0	1.0	0.0
2005	Mrs B	1984		1.0	1.0	0.0	1.0	0.0
2005	Konvaljen	1985		2.0	2.0	0.0	1.0	0.0
2005	Jenny81	1982		1.0	1.0	0.0	1.0	0.0
2005	Jojo77	1978		1.0	1.0	0.0	1.0	0.0
2005	lilla mej	1978		3.0	3.0	0.0	1.0	0.0
2005	Emy	1984		2.0	2.0	0.0	1.0	0.0
2005	Gustie	1973		1.0	1.0	0.0	1.0	0.0
2005	musli	1972		2.0	2.0	0.0	1.0	0.0
2005	ronja3	1969		1.0	1.0	0.0	1.0	0.0
2005	Lenen	1985		1.0	1.0	0.0	1.0	0.0
2005	Jennski	1983		1.0	1.0	0.0	1.0	0.0
2005	Marre	1980		1.0	1.0	0.0	1.0	0.0
